"","X.1","X","borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"2","2",2,4,"AIRPORT LA GUARDIA       ","01  ONE FAMILY DWELLINGS                    ","1",976,13,NA,"A5","21-16 81ST   STREET                      ","            ",11370,1,0,1,1800,1224,1950,1,"A5"," $620,000 ","2020-10-06",620000,1224,1800,0
"7","7",7,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15828,53,NA,"A1","303 BEACH 38TH STREET                    ","            ",11691,1,0,1,3810,1200,2002,1,"A1"," $273,710 ","2020-02-29",273710,1200,3810,0
"9","9",9,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,NA,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6"," $289,000 ","2020-01-19",289000,745,3804,0
"10","10",10,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15837,17,NA,"A6","334 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,745,1925,1,"A6"," $69,000 ","2020-05-21",69000,745,3804,0
"11","11",11,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15838,11,NA,"A6","334 BEACH 47 STREET                      ","            ",11691,1,0,1,1902,720,1920,1,"A6"," $57,000 ","2020-08-14",57000,720,1902,0
"12","12",12,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,16,NA,"A5","64-14 BEACH FRONT ROAD                   ","            ",11692,1,0,1,3542,3084,2014,1,"A5"," $941,881 ","2020-09-30",941881,3084,3542,0
"13","13",13,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,30,NA,"A5","62-13 OCEAN AVENUE SOUTH                 ","            ",11692,1,0,1,3959,2515,2014,1,"A5"," $824,782 ","2020-08-18",824782,2515,3959,0
"14","14",14,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,47,NA,"A5","123 BEACH 62 STREET                      ","            ",11692,1,0,1,4414,2626,2014,1,"A5"," $728,048 ","2020-10-29",728048,2626,4414,0
"15","15",15,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,91,NA,"A5","151 COMPASS PLACE                        ","            ",11692,1,0,1,3665,2515,2014,1,"A5"," $661,862 ","2020-06-24",661862,2515,3665,0
"16","16",16,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,185,NA,"A5","63-07 OCEAN AVENUE NORTH                 ","            ",11692,1,0,1,3045,2515,2014,1,"A5"," $692,410 ","2020-09-17",692410,2515,3045,0
"17","17",17,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15905,307,NA,"A5","66-14 BEACH FRONT ROAD                   ","            ",11692,1,0,1,3542,3084,2014,1,"A5"," $1,120,075 ","2020-03-02",1120075,3084,3542,0
"18","18",18,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15908,28,NA,"A2","311 BEACH 63RD STREET                    ","            ",11692,1,0,1,4200,975,1940,1,"A2"," $310,000 ","2020-10-02",310000,975,4200,0
"19","19",19,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15915,50,NA,"A2","67-11 BEACH CHANNEL DRIVE                ","            ",11692,1,0,1,3333,1217,1955,1,"A2"," $281,000 ","2020-05-28",281000,1217,3333,0
"20","20",20,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15916,41,NA,"A1","346 BEACH 69TH STREET                    ","            ",11692,1,0,1,4000,1971,1920,1,"A1"," $420,000 ","2020-02-02",420000,1971,4000,0
"21","21",21,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,48,NA,"A6","593 BEACH 43RD STREET                    ","            ",11691,1,0,1,1824,528,1920,1,"A6"," $229,164 ","2020-04-13",229164,528,1824,0
"22","22",22,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,50,NA,"A6","589 BEACH 43 STREET                      ","            ",11691,1,0,1,2557,528,1920,1,"A6"," $30,500 ","2020-10-12",30500,528,2557,0
"23","23",23,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15962,61,NA,"A9","565 BEACH 43RD STREET                    ","            ",11691,1,0,1,5796,1300,1920,1,"A9"," $289,000 ","2020-06-19",289000,1300,5796,0
"24","24",24,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15963,46,NA,"A6","44-02 NORTON AVENUE                      ","            ",11691,1,0,1,1275,595,1925,1,"A6"," $183,700 ","2020-12-01",183700,595,1275,0
"25","25",25,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,27,NA,"A6","448 BEACH 44 STREET                      ","            ",11691,1,0,1,1735,846,1899,1,"A6"," $70,980 ","2020-09-25",70980,846,1735,0
"26","26",26,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,NA,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2"," $140,000 ","2020-10-16",140000,720,2907,0
"27","27",27,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15965,110,NA,"A2","417 BEACH 43 STREET                      ","            ",11691,1,0,1,2907,720,1910,1,"A2"," $80,000 ","2020-06-08",80000,720,2907,0
"28","28",28,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15966,14,NA,"A6","462 BEACH 45 STREET                      ","            ",11691,1,0,1,1825,525,1905,1,"A6"," $149,000 ","2020-10-13",149000,525,1825,0
"29","29",29,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15968,3,NA,"A6","378 BEACH 46 STREET                      ","            ",11691,1,0,1,3804,950,1920,1,"A6"," $150,000 ","2020-08-07",150000,950,3804,0
"30","30",30,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,13,NA,"A6","426 BEACH 47 STREET                      ","            ",11691,1,0,1,2252,480,1940,1,"A6"," $91,260 ","2020-09-30",91260,480,2252,0
"31","31",31,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,46,NA,"A6","471 BEACH 46TH STREET                    ","            ",11691,1,0,1,2473,540,1940,1,"A6"," $169,000 ","2020-08-18",169000,540,2473,0
"32","32",32,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",15969,55,NA,"A2","447 BEACH 46 STREET                      ","            ",11691,1,0,1,2300,900,1940,1,"A2"," $297,000 ","2020-12-02",297000,900,2300,0
"33","33",33,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16025,3,NA,"A2","65-39 BAYFIELD AVENUE                    ","            ",11692,1,0,1,3500,1155,1925,1,"A2"," $304,000 ","2020-09-10",304000,1155,3500,0
"34","34",34,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16026,22,NA,"A9","642 BEACH 66TH STREET                    ","            ",11692,1,0,1,2250,1530,1960,1,"A9"," $310,000 ","2020-07-24",310000,1530,2250,0
"36","36",36,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16031,12,NA,"A9","5-28 BEACH 65 STREET                     ","            ",11692,1,0,1,2500,1925,1960,1,"A9"," $263,000 ","2020-09-22",263000,1925,2500,0
"37","37",37,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16032,36,NA,"A5","5-67 BEACH 65 STREET                     ","            ",11692,1,0,1,3950,2008,1955,1,"A5"," $338,000 ","2020-02-08",338000,2008,3950,0
"38","38",38,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16033,72,NA,"A1","66-08 THURSBY AVENUE                     ","            ",11692,1,0,1,2500,1137,1930,1,"A1"," $199,000 ","2020-09-21",199000,1137,2500,0
"40","40",40,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,18,NA,"A9","538 BEACH 68TH STREET                    ","            ",11692,1,0,1,2800,1386,1950,1,"A9"," $458,000 ","2020-06-08",458000,1386,2800,0
"41","41",41,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16034,38,NA,"A1","67-01 ALMEDA AVENUE                      ","            ",11692,1,0,1,2000,1120,1930,1,"A1"," $200,000 ","2020-10-29",2e+05,1120,2000,0
"43","43",43,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16038,39,NA,"A9","64-03 THURSBY AVENUE                     ","            ",11692,1,0,1,1800,1530,1960,1,"A9"," $250,000 ","2020-10-09",250000,1530,1800,0
"44","44",44,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16040,1,NA,"A2","408 BEACH 67 STREET                      ","            ",11692,1,0,1,4000,702,1910,1,"A2"," $300,000 ","2020-06-10",3e+05,702,4000,0
"45","45",45,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16042,22,NA,"A1","446 BEACH 69TH STREET                    ","            ",11692,1,0,1,4000,2416,1910,1,"A1"," $135,000 ","2020-11-23",135000,2416,4000,0
"46","46",46,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16049,3,NA,"A2","69-49 BURCHELL AVENUE                    ","            ",11692,1,0,1,3000,1632,1960,1,"A2"," $299,000 ","2020-09-08",299000,1632,3000,0
"48","48",48,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,27,NA,"A5","443 BEACH 69TH STREET                    ","            ",11692,1,0,1,3250,1530,2005,1,"A5"," $380,000 ","2020-01-15",380000,1530,3250,0
"49","49",49,4,"ARVERNE                  ","01  ONE FAMILY DWELLINGS                    ","1",16052,28,NA,"A5","441 BEACH 69TH STREET                    ","            ",11692,1,0,1,1500,1530,2005,1,"A5"," $285,000 ","2020-10-27",285000,1530,1500,0
"53","53",53,4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,24,NA,"B3","348 BEACH 43RD STREET                    ","            ",11691,2,0,2,4000,1440,1910,1,"B3"," $410,000 ","2020-01-06",410000,1440,4000,0
"54","54",54,4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,24,NA,"B3","348 BEACH 43 STREET                      ","            ",11691,2,0,2,4000,1440,1910,1,"B3"," $128,250 ","2020-05-15",128250,1440,4000,0
"55","55",55,4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15833,69,NA,"B9","303 BEACH 42ND STREET                    ","            ",11691,2,0,2,3000,1764,1960,1,"B9"," $390,000 ","2020-08-11",390000,1764,3000,0
"56","56",56,4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15836,12,NA,"B3","316 BEACH 45TH STREET                    ","            ",11691,2,0,2,2269,2340,1920,1,"B3"," $38,000 ","2020-10-19",38000,2340,2269,0
"57","57",57,4,"ARVERNE                  ","02  TWO FAMILY DWELLINGS                    ","1",15848,45,NA,"B3","216 BEACH 40TH STREET                    ","            ",11691,2,0,2,2837,1308,1920,1,"B3"," $332,000 ","2020-08-24",332000,1308,2837,0
